player,team,age,mp,per,pred_2027,delta,direction,age_group,tier
Darius Garland,2TM,26.0,1344.0,17.1,17.123,0.023,Hold,25-27,Starter
Collin Murray-Boyles,TOR,20.0,1246.0,16.4,16.994,0.594,Rise,<=24,Starter
Tre Jones,CHI,26.0,1752.0,18.7,16.963,-1.737,Fall,25-27,Starter
Ausar Thompson,DET,23.0,1896.0,16.2,16.929,0.729,Rise,<=24,Starter
Jaren Jackson Jr.,2TM,26.0,1454.0,15.7,16.899,1.199,Rise,25-27,Starter
Jakob Poeltl,TOR,30.0,1149.0,18.1,16.896,-1.204,Fall,28-30,Starter
RJ Barrett,TOR,25.0,1726.0,17.0,16.883,-0.117,Hold,25-27,Starter
Rudy Gobert,MIN,33.0,2380.0,17.5,16.879,-0.621,Fall,31+,Starter
Nic Claxton,BRK,26.0,1920.0,17.6,16.808,-0.792,Fall,25-27,Starter
Onyeka Okongwu,ATL,25.0,2297.0,15.9,16.748,0.848,Rise,25-27,Starter
Aaron Gordon,DEN,30.0,1005.0,18.5,16.722,-1.778,Fall,28-30,Starter
Jalen Smith,CHI,25.0,1095.0,16.6,16.678,0.078,Hold,25-27,Starter
Kyle Filipowski,UTA,22.0,1801.0,16.0,16.673,0.673,Rise,<=24,Starter
Moussa Diabaté,CHO,24.0,1899.0,17.2,16.639,-0.561,Fall,<=24,Starter
Jaxson Hayes,LAL,25.0,1207.0,18.3,16.601,-1.699,Fall,25-27,Starter
Dyson Daniels,ATL,22.0,2520.0,15.5,16.537,1.037,Rise,<=24,Starter
Immanuel Quickley,TOR,26.0,2231.0,16.6,16.536,-0.064,Hold,25-27,Starter
Brandon Miller,CHO,23.0,1968.0,16.8,16.536,-0.264,Hold,<=24,Starter
Jeremiah Fears,NOP,19.0,2112.0,13.8,16.51,2.71,Rise,<=24,Starter
Sandro Mamukelashvili,TOR,26.0,1751.0,18.1,16.494,-1.606,Fall,25-27,Starter
VJ Edgecombe,PHI,20.0,2623.0,14.0,16.416,2.416,Rise,<=24,Starter
Ryan Rollins,MIL,23.0,2376.0,16.2,16.403,0.203,Hold,<=24,Starter
Collin Sexton,2TM,27.0,1614.0,17.4,16.387,-1.013,Fall,25-27,Starter
Luke Kornet,SAS,30.0,1430.0,17.9,16.353,-1.547,Fall,28-30,Starter
Keldon Johnson,SAS,26.0,1911.0,17.3,16.314,-0.986,Fall,25-27,Starter
Payton Pritchard,BOS,28.0,2556.0,17.1,16.266,-0.834,Fall,28-30,Starter
Maxime Raynaud,SAC,22.0,1964.0,16.0,16.254,0.254,Hold,<=24,Starter
Shaedon Sharpe,POR,22.0,1471.0,15.3,16.239,0.939,Rise,<=24,Starter
Miles Bridges,CHO,27.0,2387.0,16.0,16.2,0.2,Hold,25-27,Starter
John Collins,LAC,28.0,1872.0,16.3,16.134,-0.166,Hold,28-30,Starter
Ryan Kalkbrenner,CHO,24.0,1479.0,17.9,16.128,-1.772,Fall,<=24,Starter
Brandon Williams,DAL,26.0,1463.0,16.8,16.128,-0.672,Fall,25-27,Starter
Ajay Mitchell,OKC,23.0,1473.0,16.8,16.126,-0.674,Fall,<=24,Starter
Jaime Jaquez Jr.,MIA,24.0,2121.0,15.7,16.123,0.423,Hold,<=24,Starter
Nikola Vučević,2TM,35.0,1818.0,17.7,16.081,-1.619,Fall,31+,Starter
Brandin Podziemski,GSW,22.0,2333.0,15.0,16.08,1.08,Rise,<=24,Starter
Coby White,2TM,25.0,1249.0,16.1,16.066,-0.034,Hold,25-27,Starter
Andre Drummond,PHI,32.0,1231.0,16.4,16.033,-0.367,Hold,31+,Starter
Cedric Coward,MEM,22.0,1598.0,15.3,15.953,0.653,Rise,<=24,Starter
Jalen Suggs,ORL,24.0,1574.0,15.6,15.923,0.323,Hold,<=24,Starter
Justin Champagnie,WAS,24.0,1377.0,17.3,15.897,-1.403,Fall,<=24,Starter
Naz Reid,MIN,26.0,2007.0,15.4,15.882,0.482,Hold,25-27,Starter
Brandon Ingram,TOR,28.0,2604.0,16.3,15.843,-0.457,Hold,28-30,Starter
Santi Aldama,MEM,25.0,1198.0,16.3,15.782,-0.518,Fall,25-27,Starter
Jusuf Nurkić,UTA,31.0,1083.0,16.4,15.746,-0.654,Fall,31+,Starter
Reed Sheppard,HOU,21.0,2147.0,15.7,15.738,0.038,Hold,<=24,Starter
Yves Missi,NOP,21.0,1297.0,15.0,15.72,0.72,Rise,<=24,Starter
Bobby Portis,MIL,30.0,1619.0,17.1,15.705,-1.395,Fall,28-30,Starter
