season,player_id,player,team,pos,target,age_x_mp,ast_percent,avg_dist_fga,blk_percent,bpm,bpm_delta1,bpm_delta2,bpm_lag1,bpm_lag2,bpm_roll3,c_percent,d_rtg,dbpm,drb_percent,dws,exp_sq,experience,f_tr,g,g_delta1,g_delta2,g_lag2,g_roll3,g_share_lag1,gs,ht_in_in,mp,mp_delta1,mp_delta2,mp_lag1,mp_lag2,mp_roll3,o_rtg,obpm,orb_percent,ows,per,per_delta1,per_delta2,per_lag1,per_lag2,per_roll3,percent_assisted_x2p_fg,percent_fga_from_x3p_range,pf_percent,pg_percent,seasons_observed,sf_percent,sg_percent,stl_percent,team_age,team_d_rtg,team_o_rtg,team_pace,team_w,tov_percent,trb_percent,ts_percent,ts_percent_delta1,ts_percent_delta2,ts_percent_lag1,ts_percent_lag2,ts_percent_roll3,usg_percent,usg_percent_delta1,usg_percent_delta2,usg_percent_lag1,usg_percent_lag2,usg_percent_roll3,vorp,vorp_delta1,vorp_delta2,vorp_lag1,vorp_lag2,vorp_roll3,was_traded,ws,ws_48,ws_48_delta1,ws_48_delta2,ws_48_lag1,ws_48_lag2,ws_48_roll3,wt,career_per,career_usg_percent,career_ts_percent,career_bpm,career_mp,dev_per,dev_usg_percent,dev_ts_percent,dev_bpm,dev_mp,career_best_per,below_career_best,years_past_peak,years_to_peak,is_past_peak,decline_pressure,per_slope2,improving_2yr,declining_2yr,mp_trend,usg_shift,starter_share,mp_per_g,next_mp,d_per_actual,is_breakout,is_decline,pred,resid,abs_resid,age_now
2025,herroty01,Tyler Herro,MIA,SG,17.1,68.125,26.2,16.7,0.6,3.1,2.3,0.20000000000000007,0.8,0.6,0.7000000000000085,0.0,115.0,-0.7,14.6,2.7,36,6,0.237,77,35.0,-25.0,67.0,58.333333333333336,0.5121951219512195,77.0,77.0,2725.0,1318.0,-930.0,1407.0,2337.0,1965.0,117.0,3.8,1.4,4.7,19.7,4.0,0.3999999999999986,15.7,15.3,15.733333333333343,0.378,0.486,0.0,38.0,6,2.0,59.0,1.3,26.8,112.9,113.5,96.2,37.0,11.5,8.1,0.605,0.04699999999999993,-0.007999999999999896,0.558,0.566,0.5616666666666673,28.0,0.1999999999999993,2.1999999999999993,27.8,25.6,27.400000000000016,3.5,2.5,-0.6000000000000001,1.0,1.6,1.366666666666669,0,7.4,0.131,0.063,-0.00399999999999999,0.068,0.072,0.07466666666666667,195.0,14.6,25.6,0.5556,-0.16000000000000003,1807.6,5.1,2.3999999999999986,0.0494,3.2600000000000002,917.4000000000001,16.2,-3.5,1.0,0.0,1,1.0,2.1999999999999993,1,0,760.0,0.1999999999999993,1.0,35.38961038961039,1033.0,-2.599999999999998,0,1,18.25488581594376,-1.1548858159437572,1.1548858159437572,25.0
2022,hieldbu01,Buddy Hield,2TM,SG,15.4,72.471,13.8,19.3,0.9,-1.2,-0.6,-1.7000000000000002,-0.6,1.1,0.8666666666666752,0.0,117.0,-1.7,12.8,1.1,36,6,0.116,81,10.0,-1.0,72.0,75.0,0.8658536585365854,32.0,76.0,2499.0,66.0,217.0,2433.0,2216.0,2421.3333333333335,105.0,0.5,2.9,0.8,12.9,0.09999999999999964,-3.1999999999999993,12.8,16.0,15.433333333333342,0.44,0.652,3.0,0.0,6,62.0,35.0,1.4,,,,,,11.7,7.8,0.548,-0.018999999999999906,0.0010000000000000009,0.567,0.566,0.573333333333334,22.4,1.6999999999999993,-6.5,20.7,27.2,24.333333333333343,0.5,-0.4,-0.7999999999999999,0.9,1.7,1.766666666666669,1,1.9,0.036,-0.008,-0.020000000000000004,0.044,0.064,0.072,220.0,14.84,23.72,0.5636,0.32,2235.2,-1.9399999999999995,-1.3200000000000003,-0.015599999999999947,-1.52,263.8000000000002,17.5,4.6,5.0,0.0,1,11.180339887498949,-1.5499999999999998,0,0,77.66666666666652,1.6999999999999993,0.3950617283950617,30.85185185185185,2482.0,2.5,1,0,12.662041341479839,2.737958658520162,2.737958658520162,29.0
2023,hieldbu01,Buddy Hield,IND,SF,13.3,74.46,13.3,19.2,0.9,1.9,3.0999999999999996,-0.6,-1.2,-0.6,-0.23333333333332465,0.0,118.0,-0.6,14.9,1.6,49,7,0.124,80,-1.0,10.0,71.0,74.66666666666667,0.9878048780487805,73.0,76.0,2482.0,-17.0,66.0,2499.0,2433.0,2382.6666666666665,115.0,2.5,3.0,2.7,15.4,2.5,0.09999999999999964,12.9,12.8,13.900000000000011,0.556,0.652,12.0,0.0,7,68.0,21.0,1.8,24.5,117.7,114.6,101.1,35.0,11.3,8.9,0.614,0.06599999999999995,-0.018999999999999906,0.548,0.567,0.560333333333334,20.8,-1.5999999999999979,1.6999999999999993,22.4,20.7,23.433333333333348,2.4,1.9,-0.4,0.5,0.9,1.0333333333333357,0,4.4,0.085,0.04900000000000001,-0.008,0.036,0.044,0.047999999999999994,220.0,14.516666666666667,23.5,0.561,0.06666666666666672,2279.1666666666665,0.8833333333333329,-2.6999999999999993,0.052999999999999936,1.8333333333333333,202.83333333333348,17.5,2.0999999999999996,6.0,0.0,1,14.696938456699069,1.2999999999999998,1,0,99.33333333333348,1.5999999999999979,0.9125,31.025,2160.0,-2.0999999999999996,0,1,13.66004488232666,-0.36004488232666,0.36004488232666,30.0
2024,hieldbu01,Buddy Hield,2TM,SF,12.3,66.96,14.5,19.1,1.6,0.4,-1.5,3.0999999999999996,1.9,-1.2,0.03333333333334195,0.0,118.0,-0.6,10.9,1.6,64,8,0.069,84,4.0,-1.0,81.0,77.33333333333333,0.975609756097561,42.0,76.0,2160.0,-322.0,-17.0,2482.0,2499.0,2471.3333333333335,114.0,1.0,3.1,1.9,13.3,-2.0999999999999996,2.5,15.4,12.9,13.70000000000001,0.671,0.668,0.0,0.0,8,38.0,62.0,1.6,,,,,,10.5,7.0,0.578,-0.03600000000000003,0.06599999999999995,0.614,0.548,0.5763333333333339,19.2,-1.6000000000000014,-1.5999999999999979,20.8,22.4,21.30000000000001,1.3,-1.0999999999999999,1.9,2.4,0.5,1.266666666666669,1,3.5,0.077,-0.008000000000000007,0.04900000000000001,0.085,0.036,0.055,220.0,14.642857142857142,23.114285714285717,0.5685714285714286,0.3285714285714286,2308.1428571428573,-1.3428571428571416,-3.914285714285718,0.009428571428571342,0.0714285714285714,-148.14285714285734,17.5,4.199999999999999,7.0,0.0,1,18.520259177452132,0.20000000000000018,0,0,-311.3333333333335,1.6000000000000014,0.5,25.714285714285715,1863.0,-1.0,0,0,12.283389732746123,0.01661026725387771,0.01661026725387771,31.0
2025,hieldbu01,Buddy Hield,GSW,SG,12.8,59.616,10.7,20.0,1.2,-1.0,-1.4,-1.5,0.4,1.9,0.3666666666666753,0.0,113.0,-0.3,12.7,2.2,81,9,0.081,82,-2.0,4.0,80.0,81.66666666666667,1.024390243902439,22.0,76.0,1863.0,-297.0,-322.0,2160.0,2482.0,2380.3333333333335,108.0,-0.7,2.9,0.6,12.3,-1.0,-2.0999999999999996,13.3,15.4,13.866666666666676,0.616,0.698,0.0,25.0,9,24.0,52.0,1.8,28.6,111.7,115.0,98.7,48.0,10.1,7.6,0.56,-0.017999999999999905,-0.03600000000000003,0.578,0.614,0.5800000000000007,20.5,1.3000000000000007,-1.6000000000000014,19.2,20.8,20.80000000000001,0.5,-0.8,-1.0999999999999999,1.3,2.4,1.4000000000000024,0,2.8,0.073,-0.0040000000000000036,-0.008000000000000007,0.077,0.085,0.066,220.0,14.475000000000001,22.625,0.56975,0.3375,2289.625,-2.1750000000000007,-2.125,-0.009749999999999925,-1.3375,-426.625,17.5,5.199999999999999,8.0,0.0,1,22.627416997969522,-1.5499999999999998,0,1,-517.3333333333335,1.3000000000000007,0.2682926829268293,22.71951219512195,819.0,0.5,0,0,12.397430167843805,0.40256983215619613,0.40256983215619613,32.0
2024,highsha01,Haywood Highsmith,MIA,PF,9.9,36.882,7.2,16.6,2.1,-0.7,2.4000000000000004,1.4999999999999996,-3.1,-4.6,-5.299999999999991,0.0,112.0,1.1,12.1,1.9,16,4,0.109,66,12.0,35.0,19.0,26.0,0.6585365853658537,26.0,77.0,1366.0,397.0,806.0,969.0,163.0,390.6666666666667,118.0,-1.8,5.3,1.1,11.1,2.5999999999999996,1.5,8.5,7.0,6.666666666666676,0.636,0.584,43.0,0.0,4,55.0,2.0,1.9,28.0,112.2,114.0,96.2,46.0,9.0,8.7,0.587,0.06999999999999995,0.07100000000000001,0.517,0.446,0.4590000000000007,12.4,-0.09999999999999964,-1.5,12.5,14.0,12.966666666666677,0.5,0.8,-0.19999999999999998,-0.3,-0.1,-0.16666666666666416,0,3.1,0.108,0.062,0.0049999999999999975,0.046,0.041,0.021333333333333343,220.0,6.666666666666667,12.966666666666667,0.459,-5.3,390.6666666666667,4.433333333333333,-0.5666666666666664,0.12799999999999995,4.6,975.3333333333333,8.5,-2.5999999999999996,3.0,0.0,1,5.196152422706632,2.05,1,0,975.3333333333333,0.09999999999999964,0.3939393939393939,20.696969696969695,1818.0,-1.1999999999999993,0,0,10.058067806121375,-0.15806780612137494,0.15806780612137494,27.0
2022,hillge01,George Hill,MIL,PG,10.6,43.855,12.4,15.4,0.5,-1.6,-0.40000000000000013,-4.1,-1.2,2.9,0.10000000000000497,0.0,114.0,0.6,9.7,1.0,196,14,0.225,54,24.0,-29.0,59.0,49.666666666666664,0.36585365853658536,17.0,76.0,1253.0,581.0,-599.0,672.0,1271.0,1081.6666666666667,117.0,-2.2,3.3,1.3,10.2,-2.9000000000000004,-3.799999999999999,13.1,16.9,14.033333333333344,0.442,0.487,0.0,95.0,14,0.0,4.0,1.6,28.5,111.8,115.1,99.9,51.0,11.9,6.6,0.552,-0.04399999999999993,-0.06300000000000006,0.596,0.659,0.6030000000000006,11.7,-4.200000000000001,0.40000000000000036,15.9,15.5,15.500000000000014,0.1,0.0,-1.5,0.1,1.6,0.6333333333333361,0,2.3,0.087,-0.013000000000000012,-0.10999999999999999,0.1,0.21,0.1376666666666667,188.0,15.076923076923077,17.953846153846154,0.574,1.2615384615384615,1724.1538461538462,-4.876923076923077,-6.253846153846155,-0.02199999999999991,-2.8615384615384616,-471.1538461538462,21.5,11.3,11.0,0.0,1,36.4828726939094,-3.3499999999999996,0,1,171.33333333333326,4.200000000000001,0.3148148148148148,23.203703703703702,834.0,0.40000000000000036,0,0,10.720962457991774,-0.12096245799177474,0.12096245799177474,35.0
2022,holidaa01,Aaron Holiday,2TM,PG,9.4,25.525,20.7,13.2,0.7,-1.7,2.5,-2.6,-4.2,-1.6,-2.466666666666662,0.0,113.0,0.3,10.3,0.9,16,4,0.201,63,-3.0,0.0,66.0,60.666666666666664,0.8048780487804879,15.0,72.0,1021.0,-155.0,-441.0,1176.0,1617.0,1146.3333333333333,108.0,-1.9,2.6,0.5,12.6,3.4000000000000004,-2.4000000000000004,9.2,11.6,10.900000000000011,0.348,0.305,0.0,99.0,4,0.0,1.0,2.0,,,,,,15.4,6.5,0.544,0.041000000000000036,-0.018000000000000016,0.503,0.521,0.5140000000000006,18.7,-0.8000000000000007,0.8000000000000007,19.5,18.7,20.03333333333335,0.1,0.7999999999999999,-0.8999999999999999,-0.7,0.2,-0.13333333333333033,1,1.5,0.068,0.059000000000000004,-0.054,0.009,0.063,0.04566666666666667,185.0,10.9,20.03333333333333,0.514,-2.466666666666667,1146.3333333333333,1.6999999999999993,-1.3333333333333321,0.030000000000000027,0.7666666666666668,-125.33333333333326,11.9,-0.6999999999999993,1.0,0.0,1,1.0,0.5,0,0,-125.33333333333326,0.8000000000000007,0.23809523809523808,16.206349206349206,845.0,-3.1999999999999993,0,1,12.323000641409926,-2.923000641409926,2.923000641409926,25.0
2024,holidaa01,Aaron Holiday,HOU,PG,12.2,34.263,15.4,17.3,0.4,-1.5,0.5,-0.30000000000000004,-2.0,-1.7,-2.633333333333329,0.0,116.0,0.3,8.5,1.2,36,6,0.151,78,15.0,0.0,63.0,64.0,0.7682926829268293,1.0,72.0,1269.0,424.0,-176.0,845.0,1021.0,1014.0,117.0,-1.8,1.9,1.3,11.5,2.0999999999999996,-3.1999999999999993,9.4,12.6,10.400000000000011,0.255,0.52,0.0,100.0,6,0.0,0.0,1.6,25.1,113.4,114.5,99.0,41.0,10.6,5.2,0.578,0.04999999999999993,-0.016000000000000014,0.528,0.544,0.5250000000000007,16.7,3.299999999999999,-5.299999999999999,13.4,18.7,17.200000000000014,0.2,0.2,-0.1,0.0,0.1,-0.19999999999999704,0,2.5,0.094,0.041,-0.015000000000000006,0.053,0.068,0.043333333333333335,185.0,10.940000000000001,18.44,0.5227999999999999,-2.22,1061.0,0.5599999999999987,-1.740000000000002,0.05520000000000003,0.7200000000000002,208.0,12.6,1.0999999999999996,3.0,0.0,1,5.196152422706632,-0.5499999999999998,0,0,255.0,3.299999999999999,0.01282051282051282,16.26923076923077,792.0,0.6999999999999993,0,0,10.926694883561751,1.273305116438248,1.273305116438248,27.0
2022,holidjr01,Jrue Holiday,MIL,PG,19.2,68.417,31.8,13.6,1.3,3.2,-0.19999999999999973,1.5999999999999999,3.4,1.8,2.733333333333338,0.0,112.0,0.3,10.9,2.4,169,13,0.189,67,8.0,-2.0,61.0,62.333333333333336,0.7195121951219512,64.0,76.0,2207.0,300.0,-210.0,1907.0,2117.0,2142.0,117.0,2.9,3.4,4.5,19.8,-0.1999999999999993,3.0,20.0,17.0,18.80000000000001,0.197,0.336,0.0,75.0,13,0.0,25.0,2.4,28.5,111.8,115.1,99.9,51.0,15.0,7.2,0.593,0.0010000000000000009,0.05499999999999994,0.592,0.537,0.561333333333334,23.5,1.3000000000000007,-2.3000000000000007,22.2,24.5,24.03333333333335,2.9,0.2999999999999998,0.6000000000000001,2.6,2.0,2.5666666666666695,0,6.9,0.15,-0.015000000000000013,0.07700000000000001,0.165,0.088,0.12033333333333335,220.0,17.166666666666668,23.46666666666667,0.5320833333333334,1.3666666666666665,2134.1666666666665,2.633333333333333,0.03333333333333144,0.06091666666666662,1.8333333333333337,72.83333333333348,20.0,0.1999999999999993,7.0,0.0,1,18.520259177452132,1.4000000000000004,0,0,65.0,1.3000000000000007,0.9552238805970149,32.940298507462686,2183.0,-0.6000000000000014,0,0,18.197028022509706,1.0029719774902937,1.0029719774902937,31.0
