model,MAE,ci_lo,ci_hi,RMSE,R2,improve_vs_base,significant
Persistence,1.8743915343915343,1.7839074074074077,1.9733624338624338,2.4215107444969735,0.7084133114912043,0.0,False
Ridge,1.682742918896068,1.6006586097632785,1.7690568254786723,2.145906719752055,0.7710099708505143,0.19064466699766405,True
RandomForest,1.7244991177517401,1.6343140606990851,1.8177637358392478,2.212289166640005,0.7566234792650003,0.1508123040305444,True
XGBoost,1.7003435542596081,1.6130082645264885,1.78917886656302,2.1851653189135414,0.7625547472087246,0.17323922767972189,True
LightGBM,1.704619006823464,1.6148360571015676,1.7932722728148116,2.1934538968531148,0.7607500177924815,0.17067170202933396,True
